node1,node2,distance,indoor,area
25,26,53.67917445202665,0,3
19,25,153.29419836060646,0,3
26,27,41.08472410610505,0,3
20,21,36.19936565802352,0,3
20,22,33.7419868870885,0,3
20,24,58.28532497335229,0,3
19,20,12.381688524035916,0,3
22,23,30.029732008571916,0,3
18,19,29.722178372144896,0,3
18,28,151.4306685635308,0,3
28,31,81.59797932927383,0,3
31,32,26.62964722181427,0,3
30,31,13.835170832635962,0,3
29,32,30.351840708808627,0,3
29,30,13.782303610740728,0,3
29,33,88.48453601335571,0,3
17,30,84.77924096016082,0,3
16,17,38.897529976178184,0,3
33,34,54.84459080444989,0,3
34,35,101.62645170988385,0,3
15,16,76.15822975277167,0,3
16,36,59.64279400295801,0,3
36,37,35.427787560304296,0,3
36,40,9.460720424669692,0,3
37,38,14.943189846156425,0,3
38,39,15.925661512789507,0,3
14,15,36.22599610989986,0,3
13,14,75.81021944369324,0,3
13,6,59.12579198453682,0,3
5,6,21.088033959778432,0,3
6,7,75.15086821870102,0,3
4,5,27.328836758390377,0,3
3,4,61.837941133503016,0,3
2,3,66.02898414939668,0,3
1,2,46.38636196530359,0,3
7,8,30.471568793536616,0,3
8,9,44.47766835674208,0,3
10,8,77.31989009384175,0,3
10,11,48.80967037393711,0,3
11,12,22.325948373778875,0,3
40,41,42.598241510027016,0,3
40,43,37.30147877381254,0,3
41,42,11.679742748332755,0,3
41,C1,26.522652405887523,0,3
42,L35-37,47.56211054968717,0,3
43,44,26.22534983277956,0,3
43,45,26.741606878021145,0,3
44,50,89.76462506370312,0,3
45,46,47.84070279677963,0,3
35,71,152.44826495953174,0,3
46,47,25.377751837774486,0,3
46,L29-30,17.970627517758267,0,3
47,48,47.19611688245499,0,3
47,L27-28,26.824891989802833,0,3
48,49,25.71082041339622,0,3
48,L25-26,33.030253632698525,0,3
49,L25-26,32.20923958674578,0,3
50,51,93.06037122951307,0,3
50,52,22.576045013361632,0,3
52,53,122.20949777574431,0,3
52,54,63.83860563585409,0,3
54,55,83.98614129538204,0,3
71,72,58.216550974341196,0,3
70,71,64.57072986954216,0,3
72,C6,38.116729027953355,0,1
69,70,34.71206320952976,0,4
70,73,21.133074983720416,0,4
69,73,21.34566922092301,0,4
68,69,115.16993807888669,0,4
73,74,133.4810883340015,0,4
74,75,27.265774572551187,0,4
67,68,33.39914992489206,0,4
68,L5,35.05002972488083,0,3
62,67,96.62977073470591,0,3
62,63,13.943536042747112,0,3
61,62,14.320447672502107,0,3
63,64,9.573884730606366,0,3
61,65,90.25156806432719,0,3
60,61,80.01868694724227,0,3
65,66,92.35043070899934,0,4
59,60,145.67489706284692,0,3
58,59,23.263603721535222,0,3
57,58,25.96042132717794,0,3
58,76,95.55745887728304,0,3
56,57,63.24928412861082,0,3
55,56,36.87426782378983,0,3
76,77,16.38782341909337,0,3
77,78,44.12786274012431,0,3
78,79,33.3597287781516,0,3
79,80,37.69588884160459,0,3
80,81,31.433333776161373,0,3
81,82,27.78200029143569,0,3
82,83,19.289394823661578,0,3
83,84,38.88547950488056,0,3
84,85,28.303777347920946,0,3
85,86,16.11385112706085,0,3
86,87,87.08133942749588,0,3
87,88,20.537645080081543,0,3
87,92,42.379971931565386,0,3
88,89,46.7719920638929,0,2
89,90,18.794791488369746,0,2
89,92,48.269347884102444,0,3
90,91,35.59187500655698,0,2
111,92,37.81143133515257,0,3
92,93,49.00647990093919,0,3
110,111,96.01793770122501,0,2
109,110,73.4675313838395,0,2
93,94,80.06862391249444,0,3
94,95,37.84216720801472,0,3
95,96,44.20448863884781,0,3
95,97,68.91648776984485,0,3
97,98,95.79300868954688,0,3
108,97,42.289812660647996,0,3
98,99,39.999881218163786,0,3
100,99,78.00972710390903,0,3
100,101,30.17374740227304,0,3
100,104,156.5622380174825,0,3
101,102,37.44147534422121,0,3
102,103,34.498238522117205,0,3
104,105,11.186262858781674,0,3
105,106,60.898755262305315,0,3
106,107,46.754646332539664,0,3
107,108,30.30741549330319,0,3
C1,L33,39.9002791197111,1,3
C1,L31-32,21.192484624996773,1,3
C1,C11,54.3102926609747,1,3
C2,L33,40.78716952158471,1,3
L29-30,L31-32,57.452172408011634,1,3
C11,C2,32.91435668947595,1,1
C11,L29-30,23.803972945497684,1,1
C10,C11,38.48019354747923,1,1
C2,L24,36.93483358697253,1,1
C2,C3,44.93017962609755,1,1
C10,C3,35.116822084735944,1,1
C3,L22,14.483156809094483,1,1
C3,C4,28.689786322370836,1,1
L27-28,L29-30,33.024932389320604,1,1
C10,L27-28,11.942241652954527,1,1
L25-26,L27-28,61.84624816964882,1,1
C10,C9,36.69442693497562,1,1
L22,L23,24.587875624926,1,1
C4,C9,34.16879507710286,1,1
C8,C9,23.69886255090807,1,1
C4,L21,23.56232130487347,1,1
C4,C5,21.881710946716016,1,1
C5,C8,31.523951500722806,1,1
C5,C6,23.21104938355547,1,1
C8,L25-26,10.725167967872224,1,1
C7,C8,26.2471634300406,1,1
C7,L25-26,30.550290990358768,1,1
C6,C7,34.406286132573726,1,1
C7,L13-15,75.35165965881122,1,3
C6,L20,23.87825628755903,1,1
C6,L13-15,99.34642139822728,1,3
L10-12,L13-15,29.255787356080912,1,4
L13-15,L9,49.915748277121935,1,4
L10-12,L9,32.276325936208394,1,4
L7,L9,44.15195657906955,1,4
L34,L9,100.16659234457221,1,4
